al_datadict_item_properties,al_datadict_item_column_data_type,key,title,description,"""admite nulos | allows nulls""","""campo clave (llave) | unique key""","""clasificación datos sensibles | confidentiality level""","""contiene información sensible | contains sensible information""",data custodian:user,data steward:groupprofile,data steward:user,"""nivel confidencialidad | confidentiality level""","""origen del dato | data origin""","""reglas de calidad de datos | data quality rules""","""reutilizable | reusable ♻️"""
oid=3316433;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.ORDENSECCION_DES,Orden Sección Descripción,"Campo en blanco, sin uso, pero se respeta la estructura de la tabla.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316434;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.PREGUNTACOMENTARIOS,Pregunta Comentarios,"Campo en blanco, sin uso, pero se respeta la estructura de la tabla.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316435;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.MES,Mes,Mes en el que se esta realizando dicha ejecución.,Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316436;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.ORDENPREGUNTA,Orden Pregunta,"Al momento de crear una encuesta, las preguntas llevan cierto orden según la secuencia lógica, este dato se deriva de esa configuración.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316437;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.USUARIO_ID,Usuario Identifier,"Campo siempre en blanco, anteriormente era un ID para identificar usuarios por parte del proveedor, se opto por no utilizar dicho ID pero respetar la estructura de los datos.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316438;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.VALOR,Valor,"Valor numérico que se obtiene al responder esta pregunta, en algunas ocasiones el valor puede venri vacío.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316439;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.PLAZA_ID,Plaza Id,"Campo siempre en blanco, anteriormente era un ID para identificar plazas por parte del proveedor, se opto por no utilizar dicho ID pero respetar la estructura de los datos.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316440;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.IMAGENEVIDENCIA,Imagen Evidencia,"En algunas ocasiones, la respuesta solicita una imagén de evidencia, donde aplique, será un enlace URL a una imagén pública.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316441;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.TIPO_CALIFICACION,Tipo Calificación,"Señala bajo que tipo de configuración se calificara la encuesta, alternando entre ""Promedio por sección"", ""Peso de sección"" y ""Puntos obtenidos"". Puede venir vacío.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316442;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.FECHAINICIO,Fecha Inicio,"Fecha del inicio de la encuesta, el momento en el que se abre por primera vez dicha encuesta. Derivado de FECHAHORAINICIO.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316443;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.INICIO,Inicio,Combinación de fecha y hora en la que se inicia la encuesta.,Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316444;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.LATITUD_NUM,Latitud Número,"Latitud fisica de la tienda, para poder localizarla en el mapa. Este dato siempre es positivo, y el dato constamente se está actualizando del lado del proveedor con base a las visitas que se realizan diariamente a las tiendas.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316445;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.CHECKIN,Check In,Combinación de fecha y hora en la que el usuario abre la tienda por primera vez.,Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316446;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.FECHAHORATERMINO,Fecha Hora Término,"Combinación de fecha y hora del termino de la encuesta, el momento en el que se responde la última pregunta de dicha encuesta.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316447;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.VP_NUM,VP Número,"Venta Potencial, solo aplica cuando el campo ITEM_ID no esta vacío.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316448;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.ENCUESTALONGITUD,Encuesta Longitud,"Longitud fisica que se captura justo al responder la pregunta de este registro de la ejecución, para poder localizarla en el mapa. Este dato siempre es negativo.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316449;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.VALOR_RESPUESTA,Valor Respuesta,"Valor numérico, representa cuantos puntos reales se obtuvieron en dicha respuesta. Puede venir vacío.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316450;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.FECHAENVIO,Fecha Envio,Combinación de fecha y hora en la que se envía la encuesta.,Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316451;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.TIEMPOOP_NUM,Tiempo Operativa Número,"Tiempo que tardo en responder dicha encuesta, de manera operativa, omitiendo llamadas, salirse de la aplicación, etc.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316452;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.ENCUESTALATITUD,Encuesta Latitud,"Latitud fisica que se captura justo al responder la pregunta de este registro de la ejecución, para poder localizarla en el mapa. Este dato siempre es positivo.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316453;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.TIENDA_DES,Tienda Descripción,"Descriptivo (nombre) de la tienda, es el mismo dato que existe en la DIM_TIENDA y RMS.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316454;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.ESCALA_DES,Escala Descripción,"Campo en blanco, sin uso, pero se respeta la estructura de la tabla.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316455;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.ITEM_ID,Item Identifier,"ITEM (código de barras de producto de OXXO, igual al DIM_PRODUCTO RETEK), del artículo que se este respondiendo, solo aplica en ciertos tipos de encuestas, puede venir vacío.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316456;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.FECHAHORAINICIO,Fecha Hora Inicio,"Combinación de fecha y hora del inicio de la encuesta, el momento en el que se abre por primera vez dicha encuesta.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316457;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.FECHATERMINO,Fecha Término,"Fecha del termino de la encuesta, el momento en el que se responde la última pregunta de dicha encuesta. Derivado de FECHAHORATERMINO.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316458;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.ESCALA_ID,Escala Id,"Campo en blanco, sin uso, pero se respeta la estructura de la tabla.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316459;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.RESPUESTANOACCESO,Respuesta No Acceso,"En dado caso que no se haya tenido acceso a la tienda, vendrá cierto estatus como ""Inventario Puerta Abierta"". Puede venir vacío.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316460;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.CR_PLAZA,Cr Plaza,"CR de plaza, siempre 5 caracteres alfanumericos, comenzando por el prefijo 10. Es el mismo dato que existe en la DIM_TIENDA y RMS.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316461;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.VALOR_PREGUNTA,Valor Pregunta,"Valor numérico, representa cuantos puntos teoricos podría llevarse al responder la preguna correctamente. Puede venir vacío.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316462;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.HORAINICIO,Hora Inicio,"Hora del inicio de la encuesta, el momento en el que se abre por primera vez dicha encuesta. Derivado de FECHAHORAINICIO.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316463;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.ANIO,Año,Año en el que se está realizando dicha ejecución.,Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316464;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.TIENDA_ID,Tienda Identifier,"Campo siempre en blanco, anteriormente era un ID para identificar tiendas por parte del proveedor, se opto por no utilizar dicho ID pero respetar la estructura de los datos.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316465;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.PLAZA_DES,Plaza Descripción,"Descriptivo de la plaza, en formato ""CRPLAZA""&amp;"" ""&amp;NOMBRE. Ejemplo 10CAN Merida, es el mismo dato que existe en DIM_TIENDA y RMS.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316466;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.ENCUESTACOMENTARIOS,Encuesta Comentarios,Comentarios generales dejados por el usuario al finalizar la encuesta.,Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316467;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.VIDEOEVIDENCIA,Video Evidencia,"Campo en blanco, sin uso, pero se respeta la estructura de la tabla.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316468;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.HORATERMINO,Hora Término,"Hora del termino de la encuesta, el momento en el que se responde la última pregunta de dicha encuesta. Derivado de FECHAHORATERMINO.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316469;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.EJECUCION_NUM,Ejecución Número,"Identificar de la ""ejecución"", basicamente en la combinación de TIENDA-USUARIO-ENCUESTA-FECHA, es un número único e incremental.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316470;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.CR_TIENDA,Cr Tienda,"CR de tienda, siempre 5 caracteres alfanumericos o también numericos, comenzando por el prefijo 50. Es el mismo dato que existe en la DIM_TIENDA y RMS.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316471;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.TIENDA_KEY,Tienda Key,"ID de la tienda de BI, es el mismo dato que aparece en la DIM_TIENDA.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316472;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.SECCION_DES,Sección Descripción,"Campo en blanco, sin uso, pero se respeta la estructura de la tabla.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316473;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.ENCUESTA_DES,Encuesta Descripción,Nombre de la encuesta que se está respondiendo en dicha ejecución.,Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316474;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.FECHAHORAALTA,Fecha Hora Alta,"Combinación de fecha y hora del momento en cual el usuario envia la información al servidor, la información primero se almacena localmente en el dispositivo celular, pero al seleccionar enviar, se llena este campo y viaja la información.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316475;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.PREGUNTA_DES,Pregunta Descripción,Descripción completa de la pregunta que se esta respondiendo.,Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316476;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.TIPAYUDA,Tip Ayuda,"En dado caso que al crear la encuesta, se haya solicitado un tip de ayuda, aparecerá en esa pregunta. Puede venir vacío.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316477;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.EMPLEADO_ID,Empleado Id,"ID del empleado que esta respondiendo y que esta logeado en la aplicación, es el número de personal de OXXO.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316478;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.VALOR_SECCION,Valor Seccion,"Valor numérico, representa cuanto vale la sección completa de dicha encuesta. Puede venir vacío.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316479;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.PPROVEEDOR_DES,Proveedor Descripción,"Proveedor del artículo que se esta respondiendo, solo aplica en ciertos tipos de encuestas, puede venir vacío.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316480;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.TIPOENCUESTA_DES,Tipo Encuesta Descripción,"Con este dato se podrá identificar la capacidad de OXXO, principalmente entre ""CONECTA"", ""PERFORMANCE &amp; ANALYTICS"" y ""OXXO SMART"".",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316481;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.RETECK_ID,RETEK Identifier,"ID único de la tienda, es el mismo RETEK ID de DIM_TIENDA y STORE de RMS.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316482;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.CHECKOUT,Checkout,Combinación de fecha y hora en la que el usuario cierra la tienda por última vez.,Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
oid=3316483;otype=attribute,VARCHAR(16777216),2.DBZPRD_MEX_OXXO.LAND_ADLS_TRAN.ENCUESTA_CONECTA.PERIODO_ID,Periodo Identifier,"Campo en blanco, sin uso, pero se respeta la estructura de la tabla.",Si,No,🟡 Uso Interno,,jorge.maya@oxxo.com,_,_,🟡 Uso Interno,Replicado,_,_
