al_datadict_item_properties,al_datadict_item_column_data_type,key,title,description,"""admite nulos | allows nulls""","""campo clave (llave) | unique key""","""clasificación datos sensibles | confidentiality level""","""contiene información sensible | contains sensible information""",data custodian:user,data steward:groupprofile,data steward:user,"""nivel confidencialidad | confidentiality level""","""origen del dato | data origin""","""reglas de calidad de datos | data quality rules""","""reutilizable | reusable ♻️"""
oid=267922;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.FECHA_PRIMERA_VENTA,Fecha en que el CR registró su primera venta,Fecha en que el CR registró su primera venta,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267923;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.RETEK_PLAZA,Código o nombre de la plaza asignada en Retek,Código o nombre de la plaza asignada en Retek,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267924;otype=attribute,VARCHAR(30),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.ORACLE_CR_SUPERIOR,Código del centro de responsabilidad superior,Código del centro de responsabilidad superior,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267925;otype=attribute,VARCHAR(1),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.SURH_FLAG,,,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267926;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.RETEK_CR,Código del centro de responsabilidad en Retek,Código del centro de responsabilidad en Retek,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267927;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.ID_CENTRO_RESPONSABILIDAD,Identificador único del centro de responsabilidad,Identificador único del centro de responsabilidad,No,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267928;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.FLEX_VALUE_ID,Identificador del valor flexible asociado (FlexField de Oracle),Identificador del valor flexible asociado (FlexField de Oracle),No,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267929;otype=attribute,VARCHAR(1),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.RETEK_STATUS,"Estado del centro de responsabilidad (RMS) según Retek (activo, inactivo, etc.)","Estado del centro de responsabilidad (RMS) según Retek (activo, inactivo, etc.)",Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267930;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.XCR_ID_CENTRO_RESPONSABILIDAD,Identificador interno del CR,Identificador interno del CR,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267931;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.ID_DIR_ADMIN,Identificador del director administrativo,Identificador del director administrativo,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267932;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.RETEK_DISTRITO,Código del distrito según Retek,Código del distrito según Retek,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267933;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.ID_ZONA_OPERATIVA,Identificador de la zona operativa,Identificador de la zona operativa,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267934;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.ULTIMO_CAMBIO_PREDECESOR,Fecha del último cambio del CR predecesor,Fecha del último cambio del CR predecesor,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267935;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.CREATION_DATE,Fecha de creación del registro,Fecha de creación del registro,No,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267936;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.XCR_ID_PREDECESOR,Identificador del CR predecesor,Identificador del CR predecesor,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267937;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.CREATED_BY,Identificador del usuario que creó el registro,Identificador del usuario que creó el registro,No,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267938;otype=attribute,VARCHAR(240),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.XEF_ID_ESTADO_FINANCIERO,Identificador del estado financiero asociado,Identificador del estado financiero asociado,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267939;otype=attribute,VARCHAR(1),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.ES_DISTRITO,Indicador que determina si el CR es un distrito (S/N),Indicador que determina si el CR es un distrito (S/N),Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267940;otype=attribute,"NUMBER(15,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.LAST_UPDATED_BY,Identificador del usuario que realizó la última actualización,Identificador del usuario que realizó la última actualización,No,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267941;otype=attribute,DATE,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.LAST_UPDATE_DATE,Fecha/hora de la última actualización,Fecha/hora de la última actualización,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267942;otype=attribute,VARCHAR(30),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.ORACLE_CR,Código del centro de responsabilidad en Oracle EBS,Código del centro de responsabilidad en Oracle EBS,No,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267943;otype=attribute,VARCHAR(1),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.PLAZA_GRANDE,Indicador o descripción de si pertenece a una plaza grande,Indicador o descripción de si pertenece a una plaza grande,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267944;otype=attribute,FLOAT,2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.RETEK_ASESOR,Clave del asesor asociado al CR dentro de Retek,Clave del asesor asociado al CR dentro de Retek,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267945;otype=attribute,"NUMBER(5,0)",2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.SURH_CR,,,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267946;otype=attribute,VARCHAR(1),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.ORACLE_CR_TYPE,Tipo de centro de responsabilidad según Oracle,Tipo de centro de responsabilidad según Oracle,No,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267947;otype=attribute,VARCHAR(3),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.LEGACY_CR,Código del centro de responsabilidad en un sistema heredado previo,Código del centro de responsabilidad en un sistema heredado previo,No,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
oid=267948;otype=attribute,VARCHAR(100),2.DBZPRD_MEX_OXXO.LAND_EBS_TRAN.XXFC_CENTROS_RESPONSABILIDAD.DESCRIPCION,Descripción o nombre completo del centro de responsabilidad,Descripción o nombre completo del centro de responsabilidad,Si,No,Nivel Estándar,,_,isai.ramos@oxxo.com,_,🟠 Restringida,_,_,_
